grid,cg_tol,outer_iters,total_inner_iters,walltime_s,walltime_min,walltime_max
16×16×10,0.01,25,229,0.39594230000147945,0.383837900000799,0.4394294000012451
16×16×10,0.005,17,172,0.25508329999865964,0.22747810000146274,0.2606826000010187
16×16×10,0.001,7,100,0.13405190000048606,0.1271960999984003,0.14879410000139615
16×16×10,0.0005,6,98,0.12431669999932637,0.11843690000023344,0.13521680000121705
16×16×10,0.0001,1,24,0.02774639999915962,0.0254653000010876,0.03025060000072699
16×16×10,5e-05,1,25,0.03809499999988475,0.03443180000249413,0.0882939000002807
16×16×10,1e-05,1,32,0.03658519999953569,0.03324400000201422,0.03898430000117514
16×16×10,5e-06,1,33,0.033545399997819914,0.03316869999980554,0.03436619999774848
32×32×20,0.01,27,451,3.6513010999988182,3.222418999997899,3.660870600000635
32×32×20,0.005,20,390,2.6194281999996747,2.6148553999992146,2.6365222000022186
32×32×20,0.001,7,174,0.9919044000016584,0.9538329999995767,1.052355499999976
32×32×20,0.0005,6,171,0.9338038999994751,0.8858635000033246,1.016967100000329
32×32×20,0.0001,1,44,0.2276504000001296,0.21693580000282964,0.24047060000157217
32×32×20,5e-05,1,46,0.21493960000225343,0.21442219999880763,0.2317335000007006
32×32×20,1e-05,1,54,0.2572376999996777,0.22727250000025379,0.2967504000007466
32×32×20,5e-06,1,63,0.2872781000005489,0.27954610000233515,0.29084920000241254
64×64×40,0.01,42,1470,100.22881690000213,99.90670789999785,101.59289509999871
64×64×40,0.005,23,884,59.730069499997626,59.14868120000028,62.68612829999984
64×64×40,0.001,9,428,27.377349099999265,26.65407960000084,29.22706079999989
64×64×40,0.0005,7,359,22.96477220000088,22.20344909999767,24.026734700000816
64×64×40,0.0001,1,82,4.615263600000617,4.606432299999142,4.615786999998818
64×64×40,5e-05,1,88,4.908665399998426,4.854451000002882,5.271169499999814
64×64×40,1e-05,1,104,5.650846100001218,5.613589700002194,5.943458900001133
64×64×40,5e-06,1,108,5.844410399997287,5.753266799998528,6.120348399999784
